"voteID (S)","choice (S)","timestamp (S)"
"001f2be0c565c75224e4e5d11bbc03d7","BlueBottle","2018-10-25 16:33:19"
"01548b9018d23b4cbcce6c6b80d782b4","Stumptown","2018-10-18 16:40:55"
"018b7d18bb6af3a4450f706ee52bf512","Stumptown","2018-10-16 18:19:43"
"06fd0eea0a4047e46f7af8b2c787d090","BlueBottle","2018-10-25 16:13:12"
"078d6d3016f8d848e3f70366671d1bf3","BlueBottle","2018-10-19 19:16:18"
"07fb684b60f1beadb652f4b49fc79240","BlueBottle","2018-10-25 21:10:06"
"0c1ea209f211d3366628e3d021d965eb","Stumptown","2018-10-16 17:59:11"
"0f4244d4b7e807e4c77668a010a61911","BlueBottle","2018-10-16 18:11:09"
"1e35cef4341b8acae949caa05629456a","BlueBottle","2018-10-16 18:08:31"
"23dc3bb0769a32e4b41b33ea627abe9b","BlueBottle","2018-10-23 21:40:42"
"246649a8d32fe35c223da7a941ede673","Stumptown","2018-10-17 20:28:57"
"24d376d0db7634b61f0f8c899bf264df","BlueBottle","2018-10-25 21:14:52"
"24dba922d2667aa18e52564fa549345a","Stumptown","2018-10-24 17:49:42"
"2530f34e23437875dfdf2bc30e46a9e6","BlueBottle","2018-10-23 17:46:16"
"255c1da9b2adfd5617dc169af2a00974","BlueBottle","2018-10-23 17:04:56"
"2afa467ef2a361c321fdf4613a2e654a","BlueBottle","2018-10-16 21:19:07"
"2b1a84618226dd644da8320bb1445fa8","BlueBottle","2018-10-26 14:56:20"
"2cbf47f41b64bbaa8d8f33241dd48723","BlueBottle","2018-10-25 16:00:59"
"34f6901e5342980b131d28587fa17bf9","Stumptown","2018-10-22 15:27:19"
"372b882f20177aa6c3416819e9fe39c2","BlueBottle","2018-10-18 17:19:54"
"37f3018c5d3e07c0d27245264eba0d64","Stumptown","2018-10-16 21:41:01"
"3aa71eba530802b7d63860fe551675ba","Stumptown","2018-10-22 22:00:35"
"3baf0d20f014fc395a2d883f90c6a7f5","BlueBottle","2018-10-17 14:45:36"
"3d5e197f7bda74221da06703f0f24a42","BlueBottle","2018-10-25 16:42:42"
"3ed1748bff79d9224cd3a6de7a6aab1e","BlueBottle","2018-10-25 14:55:08"
"3ef4cc8208dbdb337cf9a6d31b1ece93","BlueBottle","2018-10-16 22:36:21"
"3f908d7739013ef0c37315d3117ea9cc","Stumptown","2018-10-24 15:43:59"
"419a70955baf78fb0c137d896f3d3501","Stumptown","2018-10-26 13:57:35"
"42e7ee528afb1dc92971b76c63eb4f62","BlueBottle","2018-10-25 16:20:56"
"46151b31654c8d2d459c4da188f39363","BlueBottle","2018-10-18 15:15:55"
"4b30624e40ba415e7bd3aa7954983616","BlueBottle","2018-10-23 23:07:44"
"4ceba6f19a9aed6715062e4984bfa51f","BlueBottle","2018-10-24 19:00:04"
"4df91495f308cb1075c5714c54f1cc9e","BlueBottle","2018-10-16 20:56:29"
"5368bf51a371d7f0ccf074fe4c4540e3","BlueBottle","2018-10-18 14:40:04"
"5426fcdd826bcdd99c344d496924c403","Stumptown","2018-10-17 15:15:38"
"54d785c4f88f2f673f483696e63658aa","Stumptown","2018-10-19 16:44:39"
"59ba6d9edd925336d154fa5f634a6518","Stumptown","2018-10-19 16:18:22"
"5dc6df14d2a2363fe1b218cb19b2b05b","Stumptown","2018-10-23 15:33:02"
"5e9f83117401d64ae37a47a1f1edbaaa","Stumptown","2018-10-26 15:51:03"
"5ed30f101a3268bba7afcd4f39ad0481","Stumptown","2018-10-16 21:01:06"
"6042341f812f8fa9af98548e34ea4210","Stumptown","2018-10-19 16:04:22"
"61cc91a789532654c19d06e59c69e02e","Stumptown","2018-10-17 16:54:57"
"61f7243d5fedb492437c01cedd1eed9b","BlueBottle","2018-10-24 21:34:31"
"67b01958c45f9fc70c344eab407c4a3a","BlueBottle","2018-10-25 02:55:53"
"707037083eab077c6be92c52b8222133","BlueBottle","2018-10-22 16:09:52"
"727ed85bb2488af226a48f2e25703ab8","Stumptown","2018-10-17 16:35:11"
"7398973d2c451c7dcbe97401db9dc8fd","BlueBottle","2018-10-17 22:11:09"
"7493bbae5bd4a43ad5836c8fd07c78c4","Stumptown","2018-10-18 16:49:50"
"75ac3a829913854e4845e9424c94478c","BlueBottle","2018-10-25 14:36:51"
"7809b3c3142c704d2169c63112071037","BlueBottle","2018-10-22 16:57:32"
"79dde6d71219f4995097fa745913192c","BlueBottle","2018-10-19 13:58:41"
"7c11c6b11b6d69c4aca666f98d96f848","Stumptown","2018-10-22 13:35:53"
"7f2446f3be97195dc51197c1c93936a4","BlueBottle","2018-10-18 18:05:25"
"7f45ad4e3e683f5eeeec4a3a8e17ae4b","BlueBottle","2018-10-19 19:26:13"
"7f48a374a09770ed559919077d2f65d8","Stumptown","2018-10-17 16:52:30"
"83692d8f110f816fbc16749fbc2f83d2","BlueBottle","2018-10-18 15:48:16"
"85dc0c41aeb2730eb04cdd3493197d3a","BlueBottle","2018-10-18 21:28:26"
"8768a805ffe12a14c0dd3c947afce9d3","BlueBottle","2018-10-23 18:32:01"
"8f4eff001b1b11507d2e8bbc114c93dd","Stumptown","2018-10-17 21:56:42"
"9350b9d7f4a175ba4570bb898e6a67b7","BlueBottle","2018-10-17 23:59:06"
"9467910d9e426ed3a4d51cddefbd2f4c","Stumptown","2018-10-17 18:01:25"
"959b4f0027926b094539ef0a22256a16","Stumptown","2018-10-18 15:00:52"
"9601591c1cb5013c9c0370325767a147","BlueBottle","2018-10-23 17:05:59"
"961ce32cff95bef74ded574ddb61cfb9","Stumptown","2018-10-22 22:01:31"
"9a72ad816f7d50a1b465905983e423c1","Stumptown","2018-10-25 20:02:40"
"9d3f515ebf96408ae82205ae399a577b","BlueBottle","2018-10-24 18:06:40"
"9e14206324ab0fc716a7efe5e2560b49","BlueBottle","2018-10-24 15:22:23"
"a042cf6694a906e1f49bee0aab8ab6b0","BlueBottle","2018-10-16 23:16:32"
"a326d2f20543db2a6e064826161926c1","Stumptown","2018-10-16 23:35:34"
"a32aae04c121742726e5f04f945fe60c","BlueBottle","2018-10-17 17:04:25"
"a530e7083112b1d2fdeed5c2cb1ee4aa","BlueBottle","2018-10-22 16:29:19"
"a711ed087415fb5183a49c740c86c09c","Stumptown","2018-10-17 16:12:42"
"adab54a85b39c3b83763ecea56d273a7","BlueBottle","2018-10-22 17:33:29"
"ade596f53789d3db11680fd786043d3c","BlueBottle","2018-10-19 15:13:16"
"b0aa2aad4426bd0bafd35b648947580f","Stumptown","2018-10-19 22:36:59"
"b15d90238bedbd96023da74472038db8","BlueBottle","2018-10-17 20:54:23"
"b7ad9da5df4aa0188001ab42ab1b858a","BlueBottle","2018-10-24 15:07:29"
"b814a2097753d5b15862e3108a4c3f5e","BlueBottle","2018-10-19 16:58:23"
"b97ef94b99e389882e6c7d64839655eb","BlueBottle","2018-10-23 16:06:21"
"bae4caa79ae164c7a523717ac733b3eb","BlueBottle","2018-10-25 16:46:07"
"bd1bb77faac6e8cc18a1c7da9c4556ff","Stumptown","2018-10-24 18:50:22"
"bd8224eca55911dd0fb71c6e1754b799","Stumptown","2018-10-17 16:08:41"
"c4a64e1c3375bddc4f6f64e271bcbb00","BlueBottle","2018-10-23 13:44:39"
"c5fee5b2d7193a2d6c3b16e830abf794","Stumptown","2018-10-16 18:00:18"
"c6ad4ac6db36a53ef5c0547e098c98ef","BlueBottle","2018-10-24 15:23:27"
"c9bb142d776101066f2f77dd83906289","BlueBottle","2018-10-24 15:34:08"
"ce7a65bb945cb43aa6638e56fb079b9a","BlueBottle","2018-10-16 18:05:25"
"d75b49906b8b7137e77b11231ce01302","BlueBottle","2018-10-23 16:37:42"
"d819aff299ad62d530fe32275fee98ad","BlueBottle","2018-10-22 21:59:53"
"dca4e35f696e9b67f89a4b6ed4b90ae5","BlueBottle","2018-10-26 14:52:20"
"e05472825c57f096f7004bdb06785518","BlueBottle","2018-10-17 13:28:53"
"e0ca09233b62a9e9b884f83a7693ad7a","Stumptown","2018-10-19 13:58:41"
"e24d8bc6d57ab352ac72582e3cbc6aed","Stumptown","2018-10-17 20:31:01"
"e361c2e2ac9b5dfc616be7f4ee2cc04c","BlueBottle","2018-10-17 21:31:59"
"ec0593ea8b2cf8006c316d941920ca97","Stumptown","2018-10-25 16:00:18"
"f212a88990781bd716f74658f2d034ec","BlueBottle","2018-10-17 15:52:59"
"f29b12ac8cb7f8d724ed2f1b2e3b7ff3","BlueBottle","2018-10-18 21:29:39"
"f2be0cbfeab10f98c8242897640da141","Stumptown","2018-10-23 15:44:56"
"f8f3a54bc4f8cf85172c1829542af20e","BlueBottle","2018-10-17 16:05:18"
"fa62164594d8b4c29793f56a4ba1f191","BlueBottle","2018-10-18 14:38:47"
